"Time","value"
2025-07-30 13:59:00,80.0 K
2025-07-30 13:59:15,79.8 K
2025-07-30 13:59:30,78.4 K
2025-07-30 13:59:45,80.9 K
2025-07-30 14:00:00,80.2 K
2025-07-30 14:00:15,79.0 K
2025-07-30 14:00:30,80.0 K
2025-07-30 14:00:45,80.8 K
2025-07-30 14:01:00,79.0 K
2025-07-30 14:01:15,80.7 K
2025-07-30 14:01:30,79.6 K
2025-07-30 14:01:45,80.4 K
2025-07-30 14:02:00,80.0 K
2025-07-30 14:02:15,79.4 K
2025-07-30 14:02:30,78.6 K
2025-07-30 14:02:45,81.0 K
2025-07-30 14:03:00,79.5 K
2025-07-30 14:03:15,78.5 K
2025-07-30 14:03:30,80.2 K
2025-07-30 14:03:45,80.4 K
2025-07-30 14:04:00,81.2 K
2025-07-30 14:04:15,80.4 K
2025-07-30 14:04:30,79.1 K
2025-07-30 14:04:45,81.1 K
2025-07-30 14:05:15,79.6 K
2025-07-30 14:05:30,79.2 K
2025-07-30 14:05:45,80.6 K
2025-07-30 14:06:00,80.0 K
2025-07-30 14:06:15,81.5 K
2025-07-30 14:06:30,79.7 K
2025-07-30 14:06:45,79.0 K
2025-07-30 14:07:00,79.6 K
2025-07-30 14:07:15,80.3 K
2025-07-30 14:07:30,79.8 K
2025-07-30 14:07:45,79.0 K
2025-07-30 14:08:00,80.2 K
2025-07-30 14:08:15,80.5 K
2025-07-30 14:08:30,79.0 K
2025-07-30 14:08:45,80.3 K
2025-07-30 14:09:00,79.5 K
2025-07-30 14:09:15,80.2 K
2025-07-30 14:09:30,79.5 K
2025-07-30 14:09:45,81.2 K
2025-07-30 14:10:00,79.9 K
2025-07-30 14:10:15,79.8 K
2025-07-30 14:10:30,79.9 K
2025-07-30 14:10:45,78.5 K
2025-07-30 14:11:00,80.3 K
2025-07-30 14:11:15,81.2 K
2025-07-30 14:11:30,80.4 K
2025-07-30 14:11:45,80.7 K
2025-07-30 14:12:00,80.6 K
2025-07-30 14:12:15,80.9 K
